title,label,description,upload_hour,likes,dislikes,comments
build confidence social situations,legit,No link available,6.0,25600.0,5148.0,3359.0
get paid watching videos start today,scam,No link available,4.0,89189.0,294.0,4524.0
understanding basics personal finance,legit,No link available,13.0,55593.0,4273.0,5586.0
claim free access premium tools_,scam,No link available,16.0,56988.0,8308.0,6665.0
ultimate guide gardening beginners,legit,No link available,12.0,57633.0,9219.0,732.0
shocking secrets rich exposed,scam,No link available,23.0,28268.0,4146.0,9400.0
quick easy vegan recipes,legit,No link available,19.0,50424.0,2661.0,5350.0
top five secrets banks dont want know,scam,No link available,7.0,78389.0,7373.0,315.0
earn passive income effortlessly,scam,No link available,1.0,37206.0,4434.0,9373.0
master public speaking tips,legit,No link available,4.0,90.0,9221.0,8349.0
exclusive access fast money making tips,scam,No link available,22.0,18712.0,4454.0,2972.0
master photography seven days,legit,No link available,21.0,11858.0,5186.0,5394.0
explore wonders space nasa,legit,No link available,2.0,70168.0,8193.0,8496.0
immediate refund available act fast,scam,http://refund-quick.net,16.0,85968.0,5186.0,738.0
ten mindfulness techniques stress relief,legit,No link available,21.0,64719.0,8576.0,5603.0
account flagged suspicious activity,scam,No link available,16.0,62719.0,2594.0,6927.0
top ten mustvisit cities europe,legit,No link available,11.0,63327.0,9481.0,8698.0
stepbystep guide home renovation,legit,No link available,8.0,99075.0,5186.0,8371.0
attention limited time investment opportunity,scam,http://invest-now.com,21.0,11906.0,4124.0,4878.0
best hiking trails around world,legit,No link available,12.0,9294.0,5830.0,2848.0
top ten mustread books entrepreneurs,legit,No link available,19.0,50424.0,9844.0,5394.0
warning immediate action required account,scam,No link available,8.0,35172.0,8080.0,5750.0
unlock financial freedom today,scam,No link available,8.0,41698.0,7268.0,2424.0
build successful online business,legit,No link available,20.0,21434.0,3943.0,9649.0
limited offer double money instantly,scam,No link available,13.0,40023.0,9881.0,8478.0
best practices cybersecurity two thousand and twenty-four,legit,No link available,20.0,63912.0,5357.0,6204.0
top five tools effective project management,legit,No link available,10.0,47440.0,5186.0,7155.0
discover secrets instant success,scam,No link available,20.0,82239.0,5015.0,9776.0
five daily habits healthier lifestyle,legit,No link available,6.0,87543.0,6697.0,2274.0
security risk click fix,scam,http://security-fix.com,6.0,50424.0,2623.0,9956.0
simple exercises better posture,legit,No link available,18.0,73104.0,5683.0,897.0
join vip club exclusive benefits,scam,No link available,15.0,18110.0,6320.0,5394.0
quick cash make two hundred thirty minutes,scam,No link available,20.0,60698.0,5186.0,3828.0
start earning home right,scam,No link available,16.0,89568.0,4867.0,6196.0
learn spanish thirty days beginner guide,legit,No link available,19.0,41297.0,6851.0,5678.0
improve digital marketing skills,legit,No link available,1.0,38154.0,8672.0,7168.0
exclusive insider trading secrets revealed,scam,No link available,5.0,41664.0,3802.0,1410.0
alert payment details outdated,scam,No link available,16.0,31638.0,5088.0,8866.0
claim instant reward,scam,No link available,0.0,64803.0,6183.0,5171.0
new method get rich fast revealed,scam,No link available,17.0,50424.0,5186.0,9954.0
learn basic first aid skills,legit,No link available,12.0,55881.0,6504.0,44.0
stepbystep guide writing novel,legit,No link available,22.0,39282.0,3824.0,7450.0
exclusive deal win free ipad today,scam,http://free-ipad.net,9.0,6876.0,5186.0,616.0
top five productivity tools remote work,legit,No link available,19.0,17663.0,9876.0,4459.0
earn one thousand daily without leaving home,scam,No link available,2.0,50424.0,5186.0,6206.0
ten tips becoming better writer,legit,No link available,13.0,566.0,836.0,9455.0
plan dream vacation,legit,No link available,22.0,38271.0,6120.0,2548.0
best practices managing remote teams,legit,No link available,19.0,5022.0,9156.0,9064.0
stepbystep guide learning guitar,legit,No link available,1.0,59674.0,90.0,6635.0
bank account locked immediate action needed,scam,http://secure-bank.net,19.0,97011.0,3339.0,5933.0
easy diy crafts kids,legit,No link available,2.0,74576.0,9085.0,4644.0
ten affordable smart home gadgets,legit,No link available,15.0,92038.0,7446.0,363.0
learn art graphic design,legit,No link available,22.0,51314.0,2017.0,3091.0
launch startup successfully,legit,No link available,16.0,61405.0,314.0,5591.0
best practices email marketing campaigns,legit,No link available,9.0,99171.0,5632.0,5604.0
top five online courses career growth,legit,No link available,21.0,93997.0,5611.0,3468.0
improve focus techniques,legit,No link available,13.0,23758.0,1043.0,621.0
ten science experiments home,legit,No link available,11.0,47496.0,8519.0,8190.0
congratulations youve dream vacation,scam,http://dream-vacation.net,1.0,81246.0,6311.0,7999.0
discover best travel hacks flights,legit,No link available,13.0,81341.0,9240.0,3241.0
top seven time management strategies,legit,No link available,12.0,13077.0,9597.0,3689.0
diy build bookshelf scratch,legit,No link available,5.0,98909.0,8970.0,3710.0
healthy meal prep ideas busy schedules,legit,No link available,3.0,96600.0,9648.0,269.0
stay fit without gym membership,legit,No link available,18.0,79421.0,1857.0,4324.0
explore benefits renewable energy,legit,No link available,3.0,78752.0,3229.0,7278.0
ten fun science facts kids,legit,No link available,23.0,31531.0,9760.0,8847.0
top five strategies effective team management,legit,No link available,13.0,36632.0,6451.0,9482.0
build personal fitness plan,legit,No link available,10.0,2997.0,3596.0,5448.0
learn video editing like pro,legit,No link available,13.0,50424.0,5186.0,8976.0
ten things didnt know oceans,legit,No link available,23.0,64026.0,4949.0,3467.0
learn code python thirty days,legit,No link available,8.0,75319.0,4408.0,5308.0
effective study techniques students,legit,No link available,22.0,74851.0,8984.0,7560.0
beginners guide investing stocks,legit,No link available,23.0,29430.0,9278.0,601.0
introduction machine learning algorithms,legit,No link available,2.0,68070.0,228.0,7597.0
stay motivated challenging times,legit,No link available,14.0,2366.0,8734.0,2224.0
learn meditate effectively,legit,No link available,1.0,74890.0,8535.0,599.0
discover secrets wildlife photography,legit,No link available,16.0,72236.0,9415.0,621.0
learn video editing scratch,legit,No link available,5.0,18638.0,9879.0,7959.0
data compromised act fast,scam,No link available,14.0,7717.0,2485.0,5394.0
explore best hiking trails south america,legit,No link available,15.0,56954.0,2630.0,5436.0
become millionaire one trick,scam,No link available,4.0,80382.0,8935.0,5046.0
master digital marketing thirty days,legit,No link available,21.0,50424.0,5186.0,6399.0
claim exclusive reward midnight,scam,No link available,17.0,97179.0,1454.0,8708.0
stepbystep guide building website,legit,No link available,9.0,48821.0,4491.0,882.0
ten simple recipes quick dinners,legit,No link available,4.0,6345.0,1877.0,7915.0
attention urgent security update required,scam,No link available,13.0,27171.0,5052.0,5506.0
earn passive income hidden method,scam,No link available,8.0,7324.0,5360.0,8761.0
five easy ways save money every month,legit,No link available,13.0,50424.0,5186.0,3635.0
best practices data security online,legit,No link available,15.0,54115.0,4883.0,8928.0
instant wealth awaits click learn,scam,No link available,12.0,71999.0,5145.0,5510.0
master basics artificial intelligence,legit,No link available,17.0,95994.0,9235.0,3600.0
act limited time bonus offer,scam,No link available,17.0,43164.0,2480.0,134.0
improve writing skills tips,legit,No link available,7.0,5799.0,5186.0,2454.0
vip access limited slots available,scam,No link available,15.0,25770.0,6846.0,2659.0
top seven fitness exercises beginners,legit,No link available,18.0,50424.0,5186.0,4040.0
payment details outdated update,scam,http://secure-payment.com,13.0,38386.0,432.0,7990.0
attention suspicious login attempt detected,scam,No link available,15.0,53953.0,3224.0,8657.0
top secret financial freedom blueprint revealed,scam,No link available,11.0,22581.0,4745.0,5394.0
plan effective study routine,legit,No link available,9.0,62807.0,5157.0,9344.0
unlock hidden earnings one click,scam,No link available,0.0,71112.0,2774.0,2126.0
double money twenty-four hours guaranteed,scam,No link available,15.0,56788.0,1860.0,8939.0
top ten tourist attractions asia,legit,No link available,1.0,95523.0,3881.0,7913.0
five easy ways save money every month,legit,No link available,11.0,55385.0,2925.0,7961.0
exclusive invitation join millionaire club,scam,No link available,15.0,50424.0,5186.0,93.0
ten essential skills remote workers,legit,No link available,9.0,23958.0,1190.0,3153.0
act claim special reward,scam,http://special-reward.net,7.0,44751.0,6483.0,3830.0
urgent account risk fix,scam,No link available,9.0,68687.0,5186.0,8056.0
beginners guide organic gardening,legit,No link available,20.0,50495.0,108.0,6265.0
final warning account suspension imminent,scam,No link available,15.0,49410.0,658.0,120.0
stepbystep guide building website,legit,No link available,8.0,86824.0,6343.0,2230.0
start earning five hundred day starting,scam,No link available,21.0,47171.0,1457.0,7857.0
new investment scheme earn big returns,scam,No link available,16.0,50424.0,1823.0,3078.0
computer infected fix,scam,No link available,0.0,7608.0,4260.0,6846.0
top five strategies effective team management,legit,No link available,1.0,83606.0,3040.0,8191.0
double earnings instantly,scam,http://fast-earnings.com,5.0,89952.0,8310.0,4278.0
understanding science behind nutrition,legit,No link available,23.0,50424.0,2666.0,8398.0
build emergency fund,legit,No link available,16.0,20292.0,7217.0,5296.0
ten diy projects home,legit,No link available,8.0,50424.0,1711.0,9625.0
tips creating engaging social media content,legit,No link available,9.0,49254.0,878.0,880.0
stepbystep guide podcasting,legit,No link available,23.0,27112.0,2819.0,5442.0
ten travel hacks save money flights,legit,No link available,2.0,70625.0,7550.0,7900.0
stay motivated work,legit,No link available,7.0,41221.0,9849.0,5992.0
quick workout routines busy professionals,legit,No link available,6.0,52007.0,9532.0,2119.0
best tools improving productivity,legit,No link available,4.0,62002.0,495.0,3923.0
introduction financial planning young adults,legit,No link available,15.0,55708.0,4754.0,7724.0
discover benefits meditation,legit,No link available,21.0,47550.0,9726.0,7070.0
build confidence public speaking,legit,No link available,10.0,72611.0,8009.0,8089.0
learn write resume stands,legit,No link available,8.0,30753.0,8351.0,6052.0
mastering video conferencing tools,legit,No link available,20.0,93429.0,115.0,1354.0
best practices cybersecurity awareness,legit,No link available,9.0,50424.0,8.0,1848.0
learn ethical hacking basics,legit,No link available,9.0,72317.0,1036.0,2273.0
quick tips learning new language,legit,No link available,9.0,88467.0,3084.0,7428.0
overcome procrastination,legit,No link available,13.0,86824.0,2733.0,5113.0
discover basics machine learning,legit,No link available,2.0,88164.0,4842.0,2421.0
understanding cryptocurrency beginners,legit,No link available,1.0,6586.0,3271.0,7909.0
ten effective time management strategies,legit,No link available,19.0,11667.0,1662.0,6393.0
bake perfect bread home,legit,No link available,13.0,67492.0,9695.0,6815.0
simple tips better sleep,legit,No link available,22.0,46169.0,9321.0,3380.0
learn code mobile app sixty days,legit,No link available,14.0,21227.0,1754.0,8441.0
build passive income stream,legit,No link available,22.0,12091.0,8521.0,1210.0
discover art photography,legit,No link available,8.0,76516.0,1606.0,3038.0
create budget stick,legit,No link available,22.0,36318.0,1937.0,7982.0
top five books personal development,legit,No link available,13.0,61045.0,936.0,2850.0
explore world virtual reality,legit,No link available,13.0,62598.0,2517.0,3028.0
understanding basics cloud computing,legit,No link available,7.0,80866.0,1495.0,629.0
effective techniques stress management,legit,No link available,19.0,14789.0,8466.0,8442.0
start freelance career successfully,legit,No link available,8.0,50424.0,5186.0,1605.0
explore history ancient civilizations,legit,No link available,10.0,74321.0,5156.0,6786.0
learn design logo photoshop,legit,No link available,12.0,50424.0,9226.0,4818.0
build strong professional relationships,legit,No link available,7.0,73335.0,3275.0,4196.0
ten life hacks everyday problems,legit,No link available,2.0,65719.0,3035.0,8552.0
ten steps start business,legit,No link available,22.0,12406.0,7058.0,8617.0
master basics graphic design,legit,No link available,12.0,85799.0,4181.0,6344.0
learn fundamentals project management,legit,No link available,20.0,50424.0,5186.0,1082.0
plan effective study routine,legit,No link available,20.0,83205.0,1825.0,9430.0
learn basics seo beginners,legit,No link available,0.0,78417.0,7519.0,4332.0
earn ten thousand one week skills needed,scam,http://easy-earnings.com,20.0,73527.0,5132.0,7459.0
ten tips effective email communication,legit,No link available,0.0,52017.0,3318.0,7745.0
quick easy vegan meal prep ideas,legit,No link available,23.0,12823.0,5186.0,4598.0
learn make money online fast,scam,No link available,19.0,50424.0,2525.0,1564.0
best practices remote team collaboration,legit,No link available,3.0,93571.0,6396.0,478.0
stepbystep guide interior design basics,legit,No link available,13.0,91568.0,8608.0,6892.0
top five tools effective content marketing,legit,No link available,7.0,99738.0,8673.0,7237.0
lottery simple trick,scam,No link available,22.0,49238.0,253.0,600.0
